State,Rate,Population
Andaman and Nicobar,1.5,"380,581"
Andhra Pradesh,1.6,"84,578,103"
Arunachal Pradesh,2.1,"1,383,727"
Assam,2.3,"31,205,576"
Bihar,3.2,"104,099,452"
Chandigarh,1.6,"1,055,450"
Chhattisgarh,2.4,"25,545,198"
Dadra and Nagar Haveli,2.3,"343,709"
Daman and Diu,1.7,"242,911"
Delhi,1.5,"16,787,941"
Goa,1.5,"1,458,545"
Gujarat,2.2,"60,439,692"
Haryana,2.2,"25,351,464"
Himachal Pradesh,1.6,"6,864,602"
Jammu and Kashmir,1.6,"12,267,032"
Jharkhand,2.5,"32,988,134"
Karnataka,1.7,"61,095,297"
Kerala,1.2,"33,406,061"
Lakshadweep,1.5,"64,473"
Madhya Pradesh,2.7,"72,626,809"
Maharashtra,1.7,"112,374,333"
Manipur,1.4,"2,570,390"
Meghalaya,2.9,"2,966,889"
Mizoram,2.3,"1,097,206"
Nagaland,2.5,"1,978,502"
Orissa,1.9,"41,974,219"
Puducherry,1.6,"1,247,953"
Punjab,1.6,"27,743,338"
Rajasthan,2.7,"68,548,437"
Sikkim,1.2,"610,577"
Tamil Nadu,1.6,"72,147,030"
Tripura,1.6,"3,673,917"
Uttar Pradesh,3,"199,812,341"
Uttaranchal,1.9,"10,086,292"
West Bengal,1.6,"91,276,115"
